255	255	253
251	251	250
248	248	246
244	244	243
241	241	240
238	238	236
234	234	233
231	231	230
228	228	226
225	224	223
221	221	220
218	218	217
215	215	214
212	212	211
209	209	208
206	206	205
203	203	202
200	200	199
197	197	196
194	194	193
191	191	190
188	188	187
185	185	184
182	182	181
180	179	178
177	176	175
174	174	173
171	171	170
168	168	167
166	165	164
163	163	162
160	160	159
158	157	156
155	154	154
152	152	151
150	149	148
147	147	146
144	144	143
142	141	141
139	139	138
137	136	136
134	134	133
132	131	131
129	129	128
127	126	126
124	124	123
122	121	121
119	119	118
117	116	116
114	114	113
112	111	111
109	109	108
107	107	106
105	104	104
102	102	101
100	99	99
98	97	97
95	95	94
93	92	92
90	90	90
88	88	87
86	85	85
83	83	83
81	81	80
79	78	78
76	76	76
74	74	73
72	71	71
70	69	69
67	67	66
65	64	64
63	62	62
60	60	60
58	57	57
56	55	55
53	53	53
51	51	50
49	48	48
46	46	46
44	43	43
42	41	41
39	39	39
37	36	36
34	34	34
32	32	31
30	29	29
27	27	27
25	24	24
22	22	22
19	19	19
17	17	16
14	14	14
11	11	11
9	8	8
6	6	6
4	4	4
2	2	2
1	1	1
0	0	0
0	0	0
